,BDNF_N,pAKT_N,pCREB_N,PKCA_N,pRSK_N,APP_N,MTOR_N,AMPKA_N,pNUMB_N,NUMB_N,pGSK3B_N,CDK5_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,SNCA_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,pCFOS_N,SYP_N,H3AcK18_N
0,0.4301753,0.218830018,0.232223754,0.402698444,0.44159937,0.453909789,0.458538507,0.448099271,0.394721292,0.182150472,0.192608387,0.29469997,0.159102447,0.18885166,0.106305209,0.144989339,0.176667682,0.125190375,0.115290892,0.228043456,0.14275561,0.430957458,0.247537821,0.108234339,0.831556503,0.18885166,0.122652046,0.108335872,0.427099198,0.114783227
1,0.411770344,0.211636155,0.226972108,0.385986773,0.445221892,0.430940286,0.423559858,0.420876066,0.368254577,0.182086309,0.194815275,0.294059816,0.158128945,0.184570009,0.106592156,0.150470868,0.178309014,0.13427507,0.118234503,0.238073062,0.142036635,0.457156163,0.257632205,0.109748525,0.849270413,0.200403601,0.11668219,0.10431543,0.441581289,0.111973507
2,0.418308781,0.209010905,0.230246795,0.381002487,0.467667878,0.423187297,0.425004783,0.404629807,0.363879855,0.18438769,0.200737337,0.301880744,0.148696303,0.190532165,0.108303056,0.145330199,0.176212866,0.132560376,0.117760205,0.244817269,0.142444967,0.510472323,0.255343022,0.108196196,0.846708698,0.193684548,0.118508228,0.106219278,0.435776875,0.111882881
3,0.358626307,0.222885842,0.207004208,0.37708701,0.477670694,0.410614904,0.429211348,0.386860323,0.366770734,0.161767701,0.184169439,0.29638178,0.16611228,0.185323468,0.103183762,0.14065576,0.163804222,0.123209558,0.117439413,0.234946711,0.145068223,0.430995859,0.251103116,0.119883239,0.833276763,0.192111873,0.13278121,0.111261965,0.391690992,0.130405268
4,0.358802202,0.213105949,0.192157916,0.363502081,0.483416141,0.398549752,0.408755203,0.360816436,0.35155096,0.16020025,0.185718259,0.29682937,0.16068697,0.188221388,0.104783757,0.141983034,0.167709637,0.136837714,0.116047838,0.255527743,0.140870533,0.481226533,0.25177305,0.119524406,0.878667779,0.205604228,0.129954109,0.110693923,0.434153803,0.118481435
5,0.36738809,0.218577766,0.195187525,0.363892996,0.495899987,0.391047184,0.404489851,0.354214276,0.347224089,0.162330317,0.186792986,0.28803733,0.150593891,0.183823529,0.106476244,0.13956448,0.174844457,0.130514706,0.115243213,0.236849548,0.13645362,0.478577489,0.244485294,0.120687217,0.843679299,0.190469457,0.131575226,0.109445701,0.439833145,0.11665724
6,0.342708988,0.225172847,0.195788812,0.37115022,0.497485858,0.405562539,0.427561282,0.368950346,0.360307982,0.145565999,0.177033102,0.292194524,0.149816101,0.181610135,0.097834083,0.142787086,0.15185942,0.115978749,0.114752758,0.22451982,0.144830405,0.415529219,0.238005721,0.117041275,0.798283613,0.181610135,0.141806293,0.111483449,0.406293421,0.13722926
7,0.327702703,0.214834152,0.18980344,0.358875921,0.48955774,0.375460688,0.407248157,0.340141278,0.338298526,0.147848101,0.174599156,0.288523207,0.154514768,0.182869198,0.099493671,0.140168776,0.158734177,0.119578059,0.116202532,0.246835443,0.13443038,0.451139241,0.241434599,0.116877637,0.843966245,0.191561181,0.141012658,0.113080169,0.382531646,0.123375527
8,0.317720418,0.207221578,0.180684455,0.337006961,0.464472158,0.351218097,0.378480278,0.32337587,0.312064965,0.150120856,0.167472376,0.294457873,0.148653315,0.178522099,0.105145028,0.137776243,0.160393646,0.123964088,0.116799033,0.233857044,0.132596685,0.455973757,0.236015193,0.11386395,0.83218232,0.186377762,0.139589088,0.105490331,0.435687155,0.125172652
9,0.362462159,0.22764884,0.188092836,0.368314834,0.493037336,0.380423814,0.433501514,0.357214934,0.358627649,0.14006295,0.175584532,0.301821043,0.166254496,0.171088129,0.09330036,0.12443795,0.150629496,0.117580935,0.126573741,0.224145683,0.148156475,0.410971223,0.244829137,0.13995054,0.803394784,0.189523381,0.183678058,0.116906475,0.414793165,0.146133094
10,0.327792418,0.229474965,0.185282789,0.3794851,0.509831745,0.418812082,0.428137036,0.343807014,0.341374417,0.144505369,0.173292209,0.298377884,0.169979438,0.183801691,0.094356865,0.128169979,0.149988577,0.125999543,0.119716701,0.235549463,0.134110121,0.429403701,0.250628284,0.126799178,0.842472013,0.190769934,0.168037469,0.131254284,0.385423806,0.151816313
11,0.355123675,0.216332941,0.190223793,0.361405575,0.492343934,0.368080094,0.408912446,0.326266196,0.330977621,0.142299503,0.180151408,0.306837,0.15554767,0.17411876,0.098414952,0.135557133,0.160752307,0.127986752,0.115448308,0.236337828,0.141116631,0.455050863,0.249704282,0.124201561,0.836172226,0.194819021,0.166311805,0.125266146,0.442394133,0.149988171
12,0.312539251,0.230898053,0.171027842,0.340590329,0.461168097,0.366338706,0.426418254,0.353150513,0.32593678,0.12679558,0.167403315,0.279696133,0.176381215,0.175276243,0.097651934,0.123756906,0.15,0.117403315,0.126657459,0.223480663,0.14198895,0.395441989,0.277624309,0.160773481,0.80980663,0.203314917,0.200276243,0.126933702,0.440331492,0.168370166
13,0.31095107,0.225799619,0.179834781,0.36030502,0.485066723,0.367295065,0.427028172,0.337216691,0.329379369,0.134298973,0.170862045,0.283785684,0.172971453,0.174377725,0.094642104,0.142314724,0.154408663,0.117283083,0.123892561,0.24483195,0.136127127,0.415412741,0.252003938,0.131345802,0.832794262,0.190127971,0.196034313,0.125017578,0.422162846,0.178737168
14,0.344629287,0.22181146,0.176422263,0.325734237,0.465393305,0.356541384,0.387348532,0.323475046,0.30971452,0.12277937,0.161031519,0.285816619,0.163180516,0.173352436,0.099140401,0.130372493,0.151862464,0.119054441,0.118481375,0.237249284,0.136962751,0.434527221,0.249283668,0.125501433,0.806160458,0.193839542,0.183954155,0.125787966,0.446561605,0.160601719
15,0.377741793,0.219049021,0.19446489,0.383630208,0.387163256,0.421610481,0.517297218,0.540850876,0.523332843,0.201228184,0.191338074,0.28539108,0.226244344,0.192243051,0.138655462,0.129411765,0.157918552,0.182546865,0.13697479,0.233548804,0.132579186,0.355074337,0.233484163,0.137879767,0.67498384,0.178474467,0.13852618,0.1271551966312175,0.440142211,0.129605688
16,0.351590595,0.199170124,0.174688797,0.346196404,0.367496542,0.389626556,0.480359613,0.478838174,0.474965422,0.187840532,0.193156146,0.278737542,0.212956811,0.191827243,0.111362126,0.134219269,0.148637874,0.184186047,0.136345515,0.233820598,0.129568106,0.373621262,0.235149502,0.128837209,0.684252492,0.176079734,0.132093023,0.11963697702694295,0.454352159,0.117009967
17,0.350110314,0.20532267,0.171400993,0.342112521,0.388306674,0.393546608,0.491174848,0.457391065,0.457253172,0.183455185,0.196723531,0.281004603,0.183861359,0.186704576,0.112036285,0.139859193,0.152382887,0.185824533,0.133563499,0.230232873,0.129637151,0.388302193,0.237544002,0.13633902,0.713850528,0.174248578,0.131126455,0.11551925788040354,0.45450853,0.111088546
18,0.356396867,0.228086535,0.190973517,0.3769116,0.406564715,0.416822081,0.520887728,0.503543454,0.497762029,0.205355662,0.189935334,0.291245233,0.22989554,0.188028519,0.111507213,0.13753938,0.151052893,0.181976455,0.130658266,0.22641353,0.118719947,0.36345548,0.229646825,0.149975129,0.67924059,0.195655778,0.157685293,0.14048003660260533,0.458547505,0.156690433
